,ID,Name,Zip,Lat,Long,Rating,Delivery,Price Tier,Price,Credit Cards,Outdoor Seating,Reservations,Brunch,Dinner,Lunch,Beer,Breakfast,Music,Happy Hour,Full Bar,Cocktails,Dessert,Wi-Fi,Wine,Jukebox,Public Lot,Restroom,Wheelchair Accessible,TVs,No,BYO,Take-out,Street Parking,Private Lot,Live Music,Valet Parking,Private Room,ATM,Tasting Menu
160,4d5b4165042eb1f7b9c032f4,Popeyes Louisiana Kitchen,19126,40.04491878858897,-75.14380285957117,6.8,True,1.0,$,Yes,No,No,,Dinner,Lunch,,,,,,,,,,,,,,,,,,,,,,,,
161,4c14384fa1010f47e4264c18,Papa John's Pizza,19126,40.044929135709104,-75.14390345039726,6.1,True,1.0,$,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,4c62104d86b6be9a9c6b8b34,Imperial Palace Chinese Restaurant,19126,40.0435205,-75.1433637,7.3,False,1.0,$,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,52da9236498e847d87dcc861,Breakfast Boutique 2,19126,40.0434837217926,-75.14362764486955,7.0,False,1.0,$,Yes,No,No,,,,,Breakfast,,,,,,,,,,,,,,,,,,,,,,
164,4cb65e2ab315a09348b19b76,Moonlight Cuisine,19126,40.058425981533034,-75.15308942487157,7.9,True,2.0,$$,,No,,,,,,,,,Full Bar,,,,,,,,,,Yes,,,,,Live Music,,,,
165,4d2a21c6f7a9224b709704a0,Sol Levante Bakery,19126,40.06443038660622,-75.14811554432545,7.7,False,1.0,$,Yes (incl. Discover & Visa),No,No,Brunch,,,,Breakfast,,,,,,,,,,,,,,,,,,,,,,
166,4c772aef947ca1cdf3d24637,Bruno's Pizza,19126,40.06446078715238,-75.14812899045,7.5,False,1.0,$,Yes (incl. Discover & Visa),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,4e4e2518bd4101d0d7a34aa5,KFC,19126,40.042671870426474,-75.14467983438999,6.3,True,1.0,$,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,4c81891051ada1cd8c0b1410,Kim's Restaurant,19126,40.042173406131376,-75.1290772008023,8.2,True,2.0,$$,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,4de971e77d8b6c7a5324ce2c,Little Caesars Pizza,19126,40.062997972184775,-75.15193854356367,6.4,False,1.0,$,Yes (incl. Discover & Visa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,4bf9d88bbc869521cbcc7a6b,Papa Nick's Pizza,19126,40.04502756400345,-75.12353836750226,6.2,True,1.0,$,Yes (incl. Visa & MasterCard),No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,4e2320af45dd950bb0366248,Edison Mini Market,19126,40.05059617760586,-75.15539289385354,,False,1.0,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,4c8405842f1c236a46594843,Ron's Caribbean Cuisine,19126,40.04070107095332,-75.14464427580921,8.9,False,2.0,$$,Yes (incl. American Express),No,No,Brunch,Dinner,Lunch,,,,,,,,Yes,,,,,,,,,,,,,,,,
173,4b9c1a97f964a5206d4a36e3,Relish Restaurant,19126,40.06349742404461,-75.15297290841697,8.5,True,2.0,$$,Yes (incl. Discover & Visa),No,,,Dinner,Lunch,,,,Happy Hour,Full Bar,Cocktails,,Yes,,,,,,,,,,,,Live Music,,,,
174,4cb7165c86e09eb0ffab62e2,Dunkin',19126,40.051255,-75.118065,6.1,True,1.0,$,Yes (incl. American Express),No,,,,,,Breakfast,,,,,,Yes,,,,,,,,,,,,,,,,
175,51c37bfb498e7d858e409b69,Night Market West Oak Lane,19126,40.063869345175426,-75.1530930106894,7.9,False,2.0,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,4d8b94127139b1f72025e3d4,Seafood To Go,19126,40.06800686340561,-75.14695067403116,6.2,False,3.0,$$$,Yes (incl. Discover & Visa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,4d30aaada241f04dafb1b627,Domino's Pizza,19126,40.06810853987255,-75.14674439100872,6.3,False,1.0,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,4cfac86234c1a093625c420e,Hoagie Factory,19126,40.06427854378656,-75.15308523727812,7.4,True,1.0,$,Yes (incl. Visa & MasterCard),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,4d59c083fe7c224bbc7d7bb5,Jamaican D's Inc.,19126,40.052323435160304,-75.15779762711026,8.0,True,2.0,$$,Yes (incl. Discover & MasterCard),No,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,
180,4ef8f4db9a52c908426a9853,Han Dynasty,19127,40.0255810217567,-75.22382460811681,8.5,True,2.0,$$,Yes (incl. American Express),No,Yes,Brunch,Dinner,Lunch,,,,Happy Hour,,,,,,,,,,,,BYO,,,,,,,,
181,4b400432f964a52045b425e3,Jake's and Cooper's Wine Bar,19127,40.02573725907788,-75.22425082675446,8.3,True,3.0,$$$,Yes (incl. American Express & MasterCard),Yes,,Brunch,Dinner,Lunch,Beer,,,,Full Bar,,,,Wine,,,,,,,,,,,,,,,
182,4adccf93f964a520153021e3,Chabaa Thai Bistro,19127,40.025885185734644,-75.22444180920658,8.5,True,3.0,$$$,Yes,No,,,,,,,,,,,,,,,,,,,,BYO,,,,,,,,
183,4b5c9e99f964a520513a29e3,Il Tartufo,19127,40.025473251070764,-75.22338611183628,6.6,False,2.0,$$,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,525c6f04498e85866a42a730,Taqueria Feliz,19127,40.02603429958777,-75.22505097899997,8.2,True,2.0,$$,Yes,No,,,Dinner,Lunch,,,,Happy Hour,Full Bar,Cocktails,,,,,,,,,,,,,,,,,,
